data_id,hive_id,video_id,timestamp,approaches_count,departures_count,no_movement_count,number_of_detected_bees
97413,2,6,2022-01-01 00:00:00.0,2,3,10,16
97414,2,6,2022-01-01 00:00:00.0,2,3,10,17
97415,2,6,2022-01-01 00:00:00.0,2,3,10,18
97416,2,6,2022-01-01 00:00:00.0,2,3,10,19
97417,2,6,2022-01-01 00:00:00.0,3,3,10,18
97418,2,6,2022-01-01 00:00:00.0,3,3,10,19
97419,2,6,2022-01-01 00:00:00.0,3,3,10,19
97420,2,6,2022-01-01 00:00:00.0,3,3,12,19
97421,2,6,2022-01-01 00:00:00.0,3,3,12,19
97422,2,6,2022-01-01 00:00:00.0,3,3,12,18
97423,2,6,2022-01-01 00:00:00.0,3,3,12,18
97424,2,6,2022-01-01 00:00:00.0,3,3,12,19
97425,2,6,2022-01-01 00:00:00.0,3,3,12,18
97426,2,6,2022-01-01 00:00:00.0,4,3,12,17
97427,2,6,2022-01-01 00:00:00.0,4,3,12,16
97428,2,6,2022-01-01 00:00:00.0,4,3,12,16
97429,2,6,2022-01-01 00:00:00.0,4,3,12,19
97430,2,6,2022-01-01 00:00:00.0,4,3,12,17
97431,2,6,2022-01-01 00:00:00.0,4,3,12,17
97432,2,6,2022-01-01 00:00:00.0,4,3,12,18
97433,2,6,2022-01-01 00:00:00.0,4,3,12,18
97434,2,6,2022-01-01 00:00:00.0,4,3,12,18
97435,2,6,2022-01-01 00:00:00.0,4,3,12,16
97436,2,6,2022-01-01 00:00:00.0,4,3,12,16
97437,2,6,2022-01-01 00:00:00.0,4,3,11,14
97438,2,6,2022-01-01 00:00:00.0,4,3,12,15
97439,2,6,2022-01-01 00:00:00.0,4,3,12,16
97440,2,6,2022-01-01 00:00:00.0,4,3,12,16
97441,2,6,2022-01-01 00:00:00.0,4,3,12,16
97442,2,6,2022-01-01 00:00:00.0,4,3,11,17
97443,2,6,2022-01-01 00:00:00.0,4,3,11,15
97444,2,6,2022-01-01 00:00:00.0,3,3,11,18
97445,2,6,2022-01-01 00:00:00.0,3,3,11,17
97446,2,6,2022-01-01 00:00:00.0,4,3,11,17
97447,2,6,2022-01-01 00:00:00.0,4,3,11,15
97448,2,6,2022-01-01 00:00:00.0,4,3,11,15
97449,2,6,2022-01-01 00:00:00.0,4,3,11,16
97450,2,6,2022-01-01 00:00:00.0,4,3,11,15
97451,2,6,2022-01-01 00:00:00.0,4,3,11,14
97452,2,6,2022-01-01 00:00:00.0,4,3,11,15
97453,2,6,2022-01-01 00:00:00.0,4,3,11,14
97454,2,6,2022-01-01 00:00:00.0,4,3,11,14
97455,2,6,2022-01-01 00:00:00.0,4,3,11,15
97456,2,6,2022-01-01 00:00:01.0,4,3,11,14
97457,2,6,2022-01-01 00:00:01.0,4,3,11,13
97458,2,6,2022-01-01 00:00:01.0,4,3,10,13
97459,2,6,2022-01-01 00:00:01.0,4,3,10,13
97460,2,6,2022-01-01 00:00:01.0,4,3,10,13
97461,2,6,2022-01-01 00:00:01.0,4,3,9,13
97462,2,6,2022-01-01 00:00:01.0,4,3,9,13
