data_id,hive_id,video_id,timestamp,approaches_count,departures_count,no_movement_count,number_of_detected_bees
86256,2,3,2022-01-01 00:00:00.0,21,9,6,40
86257,2,3,2022-01-01 00:00:00.0,21,9,7,42
86258,2,3,2022-01-01 00:00:00.0,21,10,7,42
86259,2,3,2022-01-01 00:00:00.0,22,10,7,41
86260,2,3,2022-01-01 00:00:00.0,22,10,8,43
86261,2,3,2022-01-01 00:00:00.0,22,10,8,43
86262,2,3,2022-01-01 00:00:00.0,22,10,8,43
86263,2,3,2022-01-01 00:00:00.0,22,10,8,43
86264,2,3,2022-01-01 00:00:00.0,22,10,9,43
86265,2,3,2022-01-01 00:00:00.0,22,10,9,44
86266,2,3,2022-01-01 00:00:00.0,22,10,9,43
86267,2,3,2022-01-01 00:00:00.0,22,10,9,44
86268,2,3,2022-01-01 00:00:00.0,22,10,9,40
86269,2,3,2022-01-01 00:00:00.0,22,10,9,40
86270,2,3,2022-01-01 00:00:00.0,22,10,9,41
86271,2,3,2022-01-01 00:00:00.0,22,10,9,38
86272,2,3,2022-01-01 00:00:00.0,22,10,9,40
86273,2,3,2022-01-01 00:00:00.0,22,10,10,37
86274,2,3,2022-01-01 00:00:00.0,22,10,10,36
86275,2,3,2022-01-01 00:00:00.0,22,10,11,38
86276,2,3,2022-01-01 00:00:00.0,23,10,11,42
86277,2,3,2022-01-01 00:00:00.0,23,10,11,40
86278,2,3,2022-01-01 00:00:00.0,23,10,11,40
86279,2,3,2022-01-01 00:00:00.0,23,10,10,40
86280,2,3,2022-01-01 00:00:00.0,23,10,10,41
86281,2,3,2022-01-01 00:00:00.0,23,10,9,41
86282,2,3,2022-01-01 00:00:00.0,23,10,11,41
86283,2,3,2022-01-01 00:00:00.0,23,10,9,41
86284,2,3,2022-01-01 00:00:00.0,23,11,11,42
86285,2,3,2022-01-01 00:00:00.0,23,11,10,42
86286,2,3,2022-01-01 00:00:00.0,23,11,11,42
86287,2,3,2022-01-01 00:00:00.0,23,11,11,41
86288,2,3,2022-01-01 00:00:00.0,23,11,11,39
86289,2,3,2022-01-01 00:00:00.0,23,11,11,38
86290,2,3,2022-01-01 00:00:00.0,23,11,10,36
86291,2,3,2022-01-01 00:00:00.0,23,11,10,39
86292,2,3,2022-01-01 00:00:00.0,23,11,10,43
86293,2,3,2022-01-01 00:00:00.0,24,11,10,40
86294,2,3,2022-01-01 00:00:00.0,24,11,10,41
86295,2,3,2022-01-01 00:00:00.0,24,11,10,47
86296,2,3,2022-01-01 00:00:00.0,24,11,10,41
86297,2,3,2022-01-01 00:00:00.0,23,10,8,43
86298,2,3,2022-01-01 00:00:00.0,24,10,9,40
86299,2,3,2022-01-01 00:00:01.0,24,10,9,41
86300,2,3,2022-01-01 00:00:01.0,24,10,9,42
86301,2,3,2022-01-01 00:00:01.0,24,10,8,42
86302,2,3,2022-01-01 00:00:01.0,24,10,7,41
86303,2,3,2022-01-01 00:00:01.0,24,10,6,43
86304,2,3,2022-01-01 00:00:01.0,24,10,7,41
86305,2,3,2022-01-01 00:00:01.0,24,10,7,38
86306,2,3,2022-01-01 00:00:01.0,24,10,7,40
86307,2,3,2022-01-01 00:00:01.0,25,10,7,40
86308,2,3,2022-01-01 00:00:01.0,25,10,7,39
86309,2,3,2022-01-01 00:00:01.0,26,10,7,39
86310,2,3,2022-01-01 00:00:01.0,26,10,7,43
86311,2,3,2022-01-01 00:00:01.0,26,10,8,40
86312,2,3,2022-01-01 00:00:01.0,26,10,8,36
86313,2,3,2022-01-01 00:00:01.0,26,10,8,39
86314,2,3,2022-01-01 00:00:01.0,26,10,8,41
86315,2,3,2022-01-01 00:00:01.0,26,10,8,38
86316,2,3,2022-01-01 00:00:01.0,26,10,8,35
86317,2,3,2022-01-01 00:00:01.0,26,10,8,39
86318,2,3,2022-01-01 00:00:01.0,26,10,9,39
86319,2,3,2022-01-01 00:00:01.0,26,10,9,40
86320,2,3,2022-01-01 00:00:01.0,26,10,9,40
86321,2,3,2022-01-01 00:00:01.0,26,10,9,37
86322,2,3,2022-01-01 00:00:01.0,26,10,9,41
86323,2,3,2022-01-01 00:00:01.0,26,10,11,32
86324,2,3,2022-01-01 00:00:01.0,26,10,11,39
86325,2,3,2022-01-01 00:00:01.0,25,9,11,42
86326,2,3,2022-01-01 00:00:01.0,25,9,11,41
86327,2,3,2022-01-01 00:00:01.0,24,9,11,37
86328,2,3,2022-01-01 00:00:01.0,24,9,11,35
86329,2,3,2022-01-01 00:00:01.0,24,9,11,37
86330,2,3,2022-01-01 00:00:01.0,24,9,11,38
86331,2,3,2022-01-01 00:00:01.0,24,9,11,39
86332,2,3,2022-01-01 00:00:01.0,23,9,11,36
86333,2,3,2022-01-01 00:00:01.0,23,8,11,36
86334,2,3,2022-01-01 00:00:01.0,23,8,11,37
86335,2,3,2022-01-01 00:00:01.0,23,8,11,42
86336,2,3,2022-01-01 00:00:01.0,24,8,11,33
86337,2,3,2022-01-01 00:00:01.0,24,8,11,35
86338,2,3,2022-01-01 00:00:01.0,24,8,11,35
86339,2,3,2022-01-01 00:00:01.0,23,8,10,38
86340,2,3,2022-01-01 00:00:01.0,23,8,10,37
86341,2,3,2022-01-01 00:00:01.0,23,7,10,34
86342,2,3,2022-01-01 00:00:01.0,23,7,10,37
86343,2,3,2022-01-01 00:00:01.0,23,7,11,35
86344,2,3,2022-01-01 00:00:01.0,23,7,12,35
86345,2,3,2022-01-01 00:00:01.0,23,7,12,37
86346,2,3,2022-01-01 00:00:01.0,23,7,12,36
86347,2,3,2022-01-01 00:00:01.0,23,7,12,36
86348,2,3,2022-01-01 00:00:01.0,23,7,12,39
86349,2,3,2022-01-01 00:00:02.0,23,7,12,37
86350,2,3,2022-01-01 00:00:02.0,23,7,12,37
86351,2,3,2022-01-01 00:00:02.0,23,6,12,30
86352,2,3,2022-01-01 00:00:02.0,23,7,11,35
86353,2,3,2022-01-01 00:00:02.0,21,7,11,35
86354,2,3,2022-01-01 00:00:02.0,21,7,11,36
86355,2,3,2022-01-01 00:00:02.0,21,7,11,33
86356,2,3,2022-01-01 00:00:02.0,21,7,11,38
86357,2,3,2022-01-01 00:00:02.0,21,7,11,32
86358,2,3,2022-01-01 00:00:02.0,21,7,12,35
86359,2,3,2022-01-01 00:00:02.0,21,7,12,31
86360,2,3,2022-01-01 00:00:02.0,21,7,12,30
86361,2,3,2022-01-01 00:00:02.0,21,7,12,32
86362,2,3,2022-01-01 00:00:02.0,21,7,12,30
86363,2,3,2022-01-01 00:00:02.0,21,7,12,32
86364,2,3,2022-01-01 00:00:02.0,21,7,12,29
86365,2,3,2022-01-01 00:00:02.0,20,7,12,29
86366,2,3,2022-01-01 00:00:02.0,20,7,12,29
86367,2,3,2022-01-01 00:00:02.0,19,7,12,29
86368,2,3,2022-01-01 00:00:02.0,20,7,12,31
86369,2,3,2022-01-01 00:00:02.0,20,7,10,31
86370,2,3,2022-01-01 00:00:02.0,20,7,10,33
86371,2,3,2022-01-01 00:00:02.0,20,7,10,31
86372,2,3,2022-01-01 00:00:02.0,20,7,9,35
86373,2,3,2022-01-01 00:00:02.0,21,7,9,32
86374,2,3,2022-01-01 00:00:02.0,21,7,9,35
86375,2,3,2022-01-01 00:00:02.0,21,6,9,32
86376,2,3,2022-01-01 00:00:02.0,21,6,9,35
86377,2,3,2022-01-01 00:00:02.0,21,6,7,32
86378,2,3,2022-01-01 00:00:02.0,21,6,8,34
86379,2,3,2022-01-01 00:00:02.0,21,6,8,33
86380,2,3,2022-01-01 00:00:02.0,21,6,8,36
86381,2,3,2022-01-01 00:00:02.0,20,6,8,35
86382,2,3,2022-01-01 00:00:02.0,20,6,8,36
86383,2,3,2022-01-01 00:00:02.0,21,6,8,36
86384,2,3,2022-01-01 00:00:02.0,22,6,8,33
86385,2,3,2022-01-01 00:00:02.0,22,6,8,33
86386,2,3,2022-01-01 00:00:02.0,22,6,8,34
86387,2,3,2022-01-01 00:00:02.0,22,6,8,36
86388,2,3,2022-01-01 00:00:02.0,22,6,8,34
86389,2,3,2022-01-01 00:00:02.0,22,6,8,34
86390,2,3,2022-01-01 00:00:02.0,22,6,8,33
86391,2,3,2022-01-01 00:00:02.0,22,7,8,31
86392,2,3,2022-01-01 00:00:02.0,22,7,8,34
86393,2,3,2022-01-01 00:00:02.0,22,7,8,41
86394,2,3,2022-01-01 00:00:02.0,22,7,8,40
86395,2,3,2022-01-01 00:00:02.0,22,7,8,35
86396,2,3,2022-01-01 00:00:02.0,22,7,8,37
86397,2,3,2022-01-01 00:00:02.0,23,7,7,38
86398,2,3,2022-01-01 00:00:02.0,24,7,7,38
86399,2,3,2022-01-01 00:00:03.0,24,6,7,35
86400,2,3,2022-01-01 00:00:03.0,25,6,7,40
86401,2,3,2022-01-01 00:00:03.0,25,6,7,36
86402,2,3,2022-01-01 00:00:03.0,25,6,7,39
86403,2,3,2022-01-01 00:00:03.0,25,6,7,37
86404,2,3,2022-01-01 00:00:03.0,25,7,7,35
86405,2,3,2022-01-01 00:00:03.0,25,7,7,35
86406,2,3,2022-01-01 00:00:03.0,25,7,7,38
86407,2,3,2022-01-01 00:00:03.0,25,7,7,38
86408,2,3,2022-01-01 00:00:03.0,25,7,7,39
86409,2,3,2022-01-01 00:00:03.0,25,7,7,39
86410,2,3,2022-01-01 00:00:03.0,25,7,8,36
86411,2,3,2022-01-01 00:00:03.0,26,7,8,34
86412,2,3,2022-01-01 00:00:03.0,26,8,8,39
86413,2,3,2022-01-01 00:00:03.0,25,8,8,35
86414,2,3,2022-01-01 00:00:03.0,25,8,8,37
86415,2,3,2022-01-01 00:00:03.0,25,8,9,34
86416,2,3,2022-01-01 00:00:03.0,25,8,9,34
86417,2,3,2022-01-01 00:00:03.0,24,7,9,36
86418,2,3,2022-01-01 00:00:03.0,24,7,9,39
86419,2,3,2022-01-01 00:00:03.0,24,7,8,35
86420,2,3,2022-01-01 00:00:03.0,24,7,9,39
86421,2,3,2022-01-01 00:00:03.0,24,7,9,38
86422,2,3,2022-01-01 00:00:03.0,24,7,9,39
86423,2,3,2022-01-01 00:00:03.0,24,7,9,39
86424,2,3,2022-01-01 00:00:03.0,24,8,9,42
86425,2,3,2022-01-01 00:00:03.0,24,8,9,43
86426,2,3,2022-01-01 00:00:03.0,25,8,9,43
86427,2,3,2022-01-01 00:00:03.0,25,8,9,40
86428,2,3,2022-01-01 00:00:03.0,24,8,9,42
86429,2,3,2022-01-01 00:00:03.0,24,8,8,45
86430,2,3,2022-01-01 00:00:03.0,25,8,8,43
86431,2,3,2022-01-01 00:00:03.0,24,8,8,42
86432,2,3,2022-01-01 00:00:03.0,24,8,8,41
86433,2,3,2022-01-01 00:00:03.0,24,8,8,43
86434,2,3,2022-01-01 00:00:03.0,24,8,9,42
86435,2,3,2022-01-01 00:00:03.0,24,8,10,40
86436,2,3,2022-01-01 00:00:03.0,24,8,11,40
86437,2,3,2022-01-01 00:00:03.0,24,8,11,40
86438,2,3,2022-01-01 00:00:03.0,24,8,11,38
86439,2,3,2022-01-01 00:00:03.0,24,8,12,37
86440,2,3,2022-01-01 00:00:03.0,24,8,12,38
86441,2,3,2022-01-01 00:00:03.0,24,8,12,38
86442,2,3,2022-01-01 00:00:03.0,24,8,12,38
86443,2,3,2022-01-01 00:00:03.0,23,8,13,40
86444,2,3,2022-01-01 00:00:03.0,23,8,13,40
86445,2,3,2022-01-01 00:00:03.0,23,8,13,39
86446,2,3,2022-01-01 00:00:03.0,23,8,13,41
86447,2,3,2022-01-01 00:00:03.0,23,9,12,39
86448,2,3,2022-01-01 00:00:03.0,22,9,12,42
86449,2,3,2022-01-01 00:00:04.0,21,9,11,38
