data_id,hive_id,video_id,timestamp,approaches_count,departures_count,no_movement_count,number_of_detected_bees
93694,2,5,2022-01-01 00:00:00.0,3,3,4,12
93695,2,5,2022-01-01 00:00:00.0,3,3,4,13
93696,2,5,2022-01-01 00:00:00.0,3,3,4,12
93697,2,5,2022-01-01 00:00:00.0,3,3,4,12
93698,2,5,2022-01-01 00:00:00.0,3,3,5,13
93699,2,5,2022-01-01 00:00:00.0,3,3,5,14
93700,2,5,2022-01-01 00:00:00.0,3,3,5,12
93701,2,5,2022-01-01 00:00:00.0,3,4,5,12
93702,2,5,2022-01-01 00:00:00.0,3,4,5,13
93703,2,5,2022-01-01 00:00:00.0,3,4,5,13
93704,2,5,2022-01-01 00:00:00.0,3,4,5,13
93705,2,5,2022-01-01 00:00:00.0,3,4,5,13
93706,2,5,2022-01-01 00:00:00.0,3,4,5,12
93707,2,5,2022-01-01 00:00:00.0,3,4,5,12
93708,2,5,2022-01-01 00:00:00.0,3,4,5,13
93709,2,5,2022-01-01 00:00:00.0,3,4,5,13
93710,2,5,2022-01-01 00:00:00.0,3,4,5,13
93711,2,5,2022-01-01 00:00:00.0,3,4,5,14
93712,2,5,2022-01-01 00:00:00.0,3,4,5,13
93713,2,5,2022-01-01 00:00:00.0,3,4,5,13
93714,2,5,2022-01-01 00:00:00.0,3,4,5,12
93715,2,5,2022-01-01 00:00:00.0,3,4,5,14
93716,2,5,2022-01-01 00:00:00.0,3,4,5,13
93717,2,5,2022-01-01 00:00:00.0,3,4,5,14
93718,2,5,2022-01-01 00:00:00.0,3,4,5,13
93719,2,5,2022-01-01 00:00:00.0,3,4,5,12
93720,2,5,2022-01-01 00:00:00.0,3,4,5,15
93721,2,5,2022-01-01 00:00:00.0,3,5,5,13
93722,2,5,2022-01-01 00:00:00.0,3,5,5,12
93723,2,5,2022-01-01 00:00:00.0,3,5,5,12
93724,2,5,2022-01-01 00:00:00.0,3,5,5,12
93725,2,5,2022-01-01 00:00:00.0,3,5,5,11
93726,2,5,2022-01-01 00:00:00.0,3,5,5,13
93727,2,5,2022-01-01 00:00:00.0,3,5,5,14
93728,2,5,2022-01-01 00:00:00.0,3,5,5,16
